,category,value,ques,ans
0,have a whiskey,$600,the world 's most popular whiskey is thi color johnni walker,red
1,x rate,$800,thi great persian king rule from approxim four hundred and eighty-six four hundred and sixty-five b c,xerx
2,sound all around,$1000,thi rude nois is the last name of tobi a charact in twelfth night,belch
3,countri by newspap,$200,el financiero the oaxaca time,mexico
4,home from the hous,$400,speaker boehner goe home to thi state where he put himself through xavier univers work a a janitor,ohio
5,twelfth night,$400,the tradit present for your twelfth wed anniversari is thi fabric creat by a type of moth larva,silk
6,clean freak,$200,it can mean to wash shampoo off hair or a solut to color hair,rins
7,four letter word,$800,the upper floor of a warehous convert to residenti or studio use,loft
8,hershey',$800,"a href http www j archiv com medium two thousand and seven twelve twenty-four j twenty-four jpg target blank jon of the clue crew hold some chocol at the hershey 's museum in hershey pa a a well a the k type world war ii g i s got hershey 's d type of a href http www j archiv com medium two thousand and seven twelve twenty-four j 24a jpg target blank thi a in one thousand, nine hundred and forty-five the compani wa produc twenty-four million a week",ration
9,an occup or,$800,an enlist man or a special ant with power jaw to defend the coloni from invad,soldier
10,death sentenc,$400,he wa quot by plato a say no evil can happen to a good man either in life or after death,socrat
11,word puzzl,$800,a href http www j archiv com medium two thousand and ten eleven twenty-two j twenty-five jpg target blank condit a of commot noisi confus,uproar
12,khomeini khamenei or khatami,$200,"exil from iran in one thousand, nine hundred and sixty-four",khomeini
13,it' about time,$800,tradit sabbat leav which teacher take for studi or travel come onc everi thi mani year,seven
14,superhero,$1000,when doug funni 's in a tough spot he wear hi underwear on the outsid becom thi man,quailman
15,the someon of somewher,$200,firdawsi known for hi epic book of king ha been call thi greek poet of persia,homer
16,the good book,$800,ham saw thi man nake receiv a cur for hi troubl,noah
17,politician,$1000,"republican pat robert sam brownback have been senat from thi midwest state sinc the mid one thousand, nine hundred and ninety",kansa
18,ancient histori,$1000,thi babylonian king 's code state that if a son strike hi father the son 's hand shall be cut off,hammurabi
19,today' horoscop,$400,april twenty may twenty quick decis are necessari be bullish,tauru
20,clean four letter word,$200,the bird that found land for noah or the soap that 's one four moistur lotion,dove
21,game,$400,the apologet name of parker brothers' slide pursuit game,sorri
22,s port,$1000,thi term use in downhil ski also mean water ski on a singl ski,slalom
23,classic ad jingl,$800,you 'll wonder where the yellow went when you brush your teeth with thi,pepsod
24,the third categori,$800,in the bibl he 's the third son born to adam eve,seth
25,also a bodi part,$600,when you pick up a tab you do thi to the bill,foot
26,colleg hodgepodg,$1000,bryn mawr is welsh for high hill but bryn mawr is n't in wale it 's in thi u s state,pennsylvania
27,inflat,$1000,also call puffer these fish are known for their abil to inflat themselv for defens purpos,blowfish
28,who said it shakespear ?,$200,soft you now the fair ophelia nymph in thi orison be all my sin rememb,hamlet
29,comput speak,$200,thi word for fire is also an abus note on a messag board or in a chat room,flame
30,whew it' hot,$200,"one hundred degre on june twenty-seven one thousand, nine hundred and fifteen in fort yukon",alaska
31,port,$200,much of australia 's foreign trade is handl by thi citi 's port jackson or neighbor botani bay,sydney
32,rhyme with yellow,$600,in a lyric from the king and i it preced young lover whoever you are,hello
