,category,value,ques,ans
0,offici state seal,$200,it seal show a map of the state with georgia on one side mississippi on the other,alabama
1,up on mount rushmor,$1000,appoint oliv ellsworth chief justic,washington
2,let the game begin,$1000,a href http www j archiv com medium two thousand and six three twenty-nine j twenty-five jpg target blank sarah of the clue crew use stick to toss a hoop back and forth with kelli at old world wisconsin a the 19th centuri game we 're play got thi name becaus it taught player to have these you might be in somebodi 's good one,grace
3,thoma pain,$200,"with letter of introduct from ben franklin thoma pain arriv in thi citi on nov thirty one thousand, seven hundred and seventy-four",philadelphia
4,the new testament,$200,chapter six of thi new testament book describ four hors a be white red black pale,revel
5,americana,$200,the cereal that toni the tiger think is gr r reat is kellogg 's frost flake of thi,corn
6,europ,$200,the world 's earliest steam locomot pull car full of thi product out of mine in wale,coal
7,sport beat term,$1000,from the latin for dust it 's what the jackhamm did to the boulder sixteen zero,pulver
8,notion,$200,"hi notion that the sun wa the center of the solar system wa publish in one thousand, five hundred and forty-three",copernicu
9,wine chees,$200,thi belgian chees is said to be undoubtedli the stinkiest of the strong smell chees,limburg
10,global worm,$200,it 's the common varieti of worm seen here,earthworm
11,we like your style,$200,a classic sweater that open down the front is name for the 7th earl of thi,cardigan
12,u s citi,$1000,an a to z list of ohio citi might run from aberdeen to thi birthplac of a famou western author,zanesvil
13,cow,$1000,the reticulum rumen omasum abomasum make up a cow 's thi,stomach
14,cloth word,$200,a score of twenty-two twenty-two for instanc,tie
15,i'm surpris,$1000,on hear a surpris affront you may be taken thi five letter way,aback
16,health matter,$1000,the fda advis pregnant woman not to eat shark swordfish they contain high level of thi element,mercuri
17,patent of well known folk,$200,"patent march one one thousand, nine hundred and twenty-one wa an improv diver 's suit by thi escap artist",houdini
18,state your name,$1000,montana wa name for it mountain thi state wa name for some snow cover mountain,nevada
19,motion in poetri,$1000,marvel 's to hi coy mistress end though we cannot make our sun stand still yet we will make him do thi,run
20,in the dictionari,$1000,a an adverb it mean thu or so a a verb it mean to urg a dog to attack,sic
21,littl peopl in lit,$1000,tyrion 's last name in a game of throne,lannist
22,think twice,$1000,german term for sweet bread that 's been twice bake,zwieback
23,on the stage,$1000,all the origin b'way cast except dian keaton bare all in a group nude scene in thi music about hippi,hair
24,countri name etymolog,$1000,thi new balkan nation is name for the appear of mt lovcen or perhap the dark forest around it,montenegro
25,dyno ite,$1000,from the latin for instruct it 's an adject mean veri knowledg,erudit
26,japanes theatr,$200,a href http www j archiv com medium two thousand and seven eleven thirteen j fourteen jpg target blank kelli of the clue crew observ a femal kabuki perform at a kabuki theatr in tokyo japan a in the word kabuki the middl syllabl bu stand for thi art form a major part of kabuki,danc
27,the english beat,$1000,centenari squar in the center of thi citi is it main cultur center alabama ha a citi by that name a well,birmingham
28,realli grimm fairi tale,$1000,to marri a princess han had to pluck a feather from the tail of thi beast that wa part lion part eagl,griffin
29,tv time,$200,it 's the profess at the center of merci and hawthorn,nurs
30,convent al wisdom,$200,accept hi parti 's nomin jfk said we stand today on the edg of a new one of these,frontier
31,radio person,$1000,tavi smiley launch thi network 's first nation show to origin from lo angel,npr
32,synonymbl,$1000,if someon ask you for anoth term for one of these book made famou by roget tell him synonym finder,thesauru
33,good old southern eat,$200,veget that fall under thi color gener term are mustard spinach turnip,green
34,classic nicholson movi line,$1000,"one thousand, nine hundred and ninety-four just mark my territori",wolf
35,poetic licens,$1000,thi poet whose first name wa algernon wa describ a the libidin laureat of a pack of satyr,swinburn
36,potti mouth,$1000,poet keat or jurist marshal,john
37,talk like a brit,$1000,if you ca n't get through to your friend in brighton you would n't say the telephon is busi you 'd say it 's thi,engag
38,annual event,$1000,ten day on the island is an annual cultur festiv take place throughout thi australian state,tasmania
39,an octob first fest,$1000,"one thousand, nine hundred and seventy-nine a ceremoni return a chunk of territori to thi central american countri",panama
40,that' the fact jack,$200,in two thousand and eight thi compani 's seventy-seven year run a the world 's largest automak came to an end,gm
41,music class,$200,music instrument such a marimba maraca are classifi a thi type,percuss
42,clean freak,$200,it can mean to wash shampoo off hair or a solut to color hair,rins
43,you get a d,$1000,in greek mytholog the mother of persephon,demet
44,tenni talk,$1000,"introduc at wimbledon in one thousand, nine hundred and twenty-four thi rank process place strong player so they wo n't meet in the earli round",seed
45,taiwan,$200,dure japanes control of taiwan thi largest citi wa call taihoku,taipei
46,u s capit of the world,$1000,thank to john deer thi illinoi citi is the plow capit of the world,molin
47,eboni ivori,$1000,ivori come not onli from eleph but also from hippo walrus these small tusk whale,narwhal
48,familiar phrase,$200,"also a magazin found in one thousand, nine hundred and twenty-three it is of the essenc",time
49,brand name,$1000,"the name of thi brand introduc in one thousand, nine hundred and fifty-nine impli that it elast waistband hold the pant up without help",sansabelt
50,my place ?,$1000,a western camper pitch a tent a central asian nomad pitch thi,yurt
51,dairi product,$1000,a special lowfat milk ha a reduc content of thi milk sugar that is hard for some peopl to digest,lactos
52,music instrument maker,$1000,"in one thousand, nine hundred and fifty music stand maker katsumi yanagisawa start make these instrument under the pearl brand name",drum
53,wyomingit,$200,"in one thousand, nine hundred and twenty-five nelli taylo ross becam the first woman to hold thi offic in the u s",governor
54,europ,$1000,thi alpin princip is the hq for some twenty-five zero corpor forty of it workforc is foreign,liechtenstein
55,pre civil war america,$1000,"in one thousand, six hundred and eighty-seven capt joseph wadsworth hid thi coloni 's charter from the coloni governor by place it in a white oak tree",connecticut
56,the new testament,$200,in a letter to corinth paul rank thi qualiti over faith hope,chariti
57,if it' tuesday,$200,in the comic thi charact 's famou line is i will gladli pay you tuesday for a hamburg today,wimpi
58,religi number,$200,the number of day it took god to creat the univers everyth in it not rest,six
59,who' had more no one hit ?,$1000,heart littl feat murray head,heart
60,you'r histori,$1000,when alexand the great becam king thi tutor of hi return to athen found hi lyceum,aristotl
61,three letter bodi part,$1000,a section of a journey separ from the other section by a period of rest,leg
62,the occident tourist,$1000,tour thi citi birthplac of spanish artist barolom murillo look for a good barber,sevil
63,quoth the presid,$200,whenev i hear anyon argu for slaveri said thi pre i feel a strong impuls to see it tri on him person,lincoln
64,anim talk,$200,rudyard kipl call thi anim 's hump an ugli lump which well you may see at the zoo,camel
